epoch,validationerror,testerror
1,0.597127,0.593928
2,0.443392,0.44188
3,0.389168,0.392341
4,0.356925,0.356593
5,0.333488,0.329782
6,0.315347,0.309837
7,0.303099,0.297644
8,0.293697,0.28776
9,0.283369,0.279593
10,0.277013,0.27255
11,0.272246,0.26675
12,0.268869,0.262488
13,0.263506,0.257931
14,0.25907,0.254084
15,0.255495,0.250533
16,0.252119,0.246449
17,0.249603,0.243194
18,0.247418,0.241477
19,0.244836,0.238577
20,0.24179,0.235677
21,0.23901,0.233961
22,0.236692,0.231771
23,0.234971,0.229107
24,0.233581,0.228397
25,0.231727,0.226977
26,0.22974,0.22603
27,0.22782,0.224373
28,0.226231,0.223426
29,0.225702,0.222183
30,0.225106,0.221532
31,0.224113,0.220466
32,0.222987,0.219697
33,0.221796,0.21804
34,0.220869,0.21727
35,0.219677,0.216323
36,0.219213,0.215791
37,0.218485,0.215436
38,0.218154,0.215021
39,0.217757,0.214607
40,0.217293,0.214134
41,0.216698,0.213482
42,0.216499,0.213068
43,0.215241,0.212536
44,0.214645,0.211825
45,0.214248,0.210938
46,0.213586,0.210464
47,0.212858,0.210168
48,0.212725,0.210168
49,0.211997,0.209695
50,0.211732,0.209339
51,0.211997,0.209221
52,0.211533,0.208511
53,0.211666,0.208097
54,0.211401,0.207801
55,0.21107,0.20786
56,0.210739,0.20709
57,0.210474,0.20715
58,0.209944,0.206439
59,0.209944,0.206499
60,0.209481,0.206025
61,0.209878,0.205907
62,0.209349,0.205552
63,0.209084,0.205315
64,0.208686,0.204841
65,0.208753,0.204841
66,0.207892,0.20425
67,0.208157,0.204486
68,0.207958,0.203835
69,0.208223,0.20425
70,0.207958,0.203835
71,0.208091,0.203954
72,0.20776,0.203658
73,0.208091,0.204072
74,0.207693,0.203125
75,0.207693,0.20348
76,0.207097,0.202711
77,0.207296,0.203539
78,0.206568,0.203007
79,0.20723,0.203125
80,0.206435,0.203184
81,0.206899,0.203954
82,0.206038,0.203184
83,0.206171,0.203066
84,0.205575,0.20277
85,0.206502,0.203362
86,0.205575,0.202652
87,0.206237,0.202711
88,0.205906,0.202592
89,0.206038,0.202415
90,0.205508,0.202829
91,0.206237,0.202474
92,0.205045,0.20206
93,0.205244,0.202119
94,0.20478,0.202237
95,0.205111,0.202592
96,0.204714,0.202237
97,0.204515,0.202356
98,0.204449,0.202119
99,0.204515,0.202356
100,0.204118,0.202178
101,0.204449,0.202178
102,0.203919,0.202237
103,0.203787,0.202296
104,0.203919,0.202178
105,0.203853,0.201941
106,0.203787,0.202237
107,0.203853,0.202178
108,0.203919,0.20206
109,0.203456,0.202237
110,0.203721,0.201882
111,0.202794,0.201764
112,0.203059,0.20206
113,0.202926,0.201349
114,0.203191,0.201645
115,0.202662,0.201468
116,0.203324,0.201527
117,0.202662,0.201527
118,0.203257,0.201645
119,0.202529,0.201172
120,0.20286,0.200935
121,0.202529,0.201231
122,0.202926,0.201113
123,0.202463,0.201172
124,0.202728,0.200817
125,0.202529,0.201054
126,0.202397,0.200402
127,0.20286,0.200225
128,0.202198,0.199988
129,0.202463,0.200639
130,0.202066,0.200343
131,0.202066,0.19987
132,0.201933,0.199988
133,0.202066,0.199929
