x,y,steps
0,0,0
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,1
0,26,1
0,27,1
0,28,1
0,29,1
0,30,1
0,31,1
0,32,1
0,33,1
0,34,1
0,35,1
0,36,1
0,37,1
0,38,1
0,39,1
0,40,1
0,41,1
0,42,1
0,43,1
0,44,1
0,45,1
0,46,1
0,47,1
0,48,1
0,49,1
0,50,1
0,51,1
0,52,1
0,53,1
0,54,1
0,55,1
0,56,1
0,57,1
0,58,1
0,59,1
0,60,1
0,61,1
0,62,1
0,63,1
0,64,1
0,65,1
0,66,1
0,67,1
0,68,1
0,69,1
0,70,1
0,71,1
0,72,1
0,73,1
0,74,1
0,75,1
0,76,1
0,77,1
0,78,1
0,79,1
0,80,1
0,81,1
0,82,1
0,83,1
0,84,1
0,85,1
0,86,1
0,87,1
0,88,1
0,89,1
0,90,1
0,91,1
0,92,1
0,93,1
0,94,1
0,95,1
0,96,1
0,97,1
0,98,1
0,99,1
0,100,1
0,101,1
0,102,1
0,103,1
0,104,1
0,105,1
0,106,1
0,107,1
0,108,1
0,109,1
1,0,0
1,1,1
1,2,2
1,3,2
1,4,2
1,5,2
1,6,2
1,7,2
1,8,2
1,9,2
1,10,2
1,11,2
1,12,2
1,13,2
1,14,2
1,15,2
1,16,2
1,17,2
1,18,2
1,19,2
1,20,2
1,21,2
1,22,2
1,23,2
1,24,2
1,25,2
1,26,2
1,27,2
1,28,2
1,29,2
1,30,2
1,31,2
1,32,2
1,33,2
1,34,2
1,35,2
1,36,2
1,37,2
1,38,2
1,39,2
1,40,2
1,41,2
1,42,2
1,43,2
1,44,2
1,45,2
1,46,2
1,47,2
1,48,2
1,49,2
1,50,2
1,51,2
1,52,2
1,53,2
1,54,2
1,55,2
1,56,2
1,57,2
1,58,2
1,59,2
1,60,2
1,61,2
1,62,2
1,63,2
1,64,2
1,65,2
1,66,2
1,67,2
1,68,2
1,69,2
1,70,2
1,71,2
1,72,2
1,73,2
1,74,2
1,75,2
1,76,2
1,77,2
1,78,2
1,79,2
1,80,2
1,81,2
1,82,2
1,83,2
1,84,2
1,85,2
1,86,2
1,87,2
1,88,2
1,89,2
1,90,2
1,91,2
1,92,2
1,93,2
1,94,2
1,95,2
1,96,2
1,97,2
1,98,2
1,99,2
1,100,2
1,101,2
1,102,2
1,103,2
1,104,2
1,105,2
1,106,2
1,107,2
1,108,2
1,109,2
2,0,0
2,1,1
2,2,1
2,3,3
2,4,2
2,5,3
2,6,2
2,7,3
2,8,2
2,9,3
2,10,2
2,11,3
2,12,2
2,13,3
2,14,2
2,15,3
2,16,2
2,17,3
2,18,2
2,19,3
2,20,2
2,21,3
2,22,2
2,23,3
2,24,2
2,25,3
2,26,2
2,27,3
2,28,2
2,29,3
2,30,2
2,31,3
2,32,2
2,33,3
2,34,2
2,35,3
2,36,2
2,37,3
2,38,2
2,39,3
2,40,2
2,41,3
2,42,2
2,43,3
2,44,2
2,45,3
2,46,2
2,47,3
2,48,2
2,49,3
2,50,2
2,51,3
2,52,2
2,53,3
2,54,2
2,55,3
2,56,2
2,57,3
2,58,2
2,59,3
2,60,2
2,61,3
2,62,2
2,63,3
2,64,2
2,65,3
2,66,2
2,67,3
2,68,2
2,69,3
2,70,2
2,71,3
2,72,2
2,73,3
2,74,2
2,75,3
2,76,2
2,77,3
2,78,2
2,79,3
2,80,2
2,81,3
2,82,2
2,83,3
2,84,2
2,85,3
2,86,2
2,87,3
2,88,2
2,89,3
2,90,2
2,91,3
2,92,2
2,93,3
2,94,2
2,95,3
2,96,2
2,97,3
2,98,2
2,99,3
2,100,2
2,101,3
2,102,2
2,103,3
2,104,2
2,105,3
2,106,2
2,107,3
2,108,2
2,109,3
3,0,0
3,1,1
3,2,2
3,3,1
3,4,3
3,5,4
3,6,2
3,7,3
3,8,4
3,9,2
3,10,3
3,11,4
3,12,2
3,13,3
3,14,4
3,15,2
3,16,3
3,17,4
3,18,2
3,19,3
3,20,4
3,21,2
3,22,3
3,23,4
3,24,2
3,25,3
3,26,4
3,27,2
3,28,3
3,29,4
3,30,2
3,31,3
3,32,4
3,33,2
3,34,3
3,35,4
3,36,2
3,37,3
3,38,4
3,39,2
3,40,3
3,41,4
3,42,2
3,43,3
3,44,4
3,45,2
3,46,3
3,47,4
3,48,2
3,49,3
3,50,4
3,51,2
3,52,3
3,53,4
3,54,2
3,55,3
3,56,4
3,57,2
3,58,3
3,59,4
3,60,2
3,61,3
3,62,4
3,63,2
3,64,3
3,65,4
3,66,2
3,67,3
3,68,4
3,69,2
3,70,3
3,71,4
3,72,2
3,73,3
3,74,4
3,75,2
3,76,3
3,77,4
3,78,2
3,79,3
3,80,4
3,81,2
3,82,3
3,83,4
3,84,2
3,85,3
3,86,4
3,87,2
3,88,3
3,89,4
3,90,2
3,91,3
3,92,4
3,93,2
3,94,3
3,95,4
3,96,2
3,97,3
3,98,4
3,99,2
3,100,3
3,101,4
3,102,2
3,103,3
3,104,4
3,105,2
3,106,3
3,107,4
3,108,2
3,109,3
4,0,0
4,1,1
4,2,1
4,3,2
4,4,1
4,5,3
4,6,3
4,7,4
4,8,2
4,9,3
4,10,3
4,11,4
4,12,2
4,13,3
4,14,3
4,15,4
4,16,2
4,17,3
4,18,3
4,19,4
4,20,2
4,21,3
4,22,3
4,23,4
4,24,2
