epoch,validationerror,testerror
1,0.968882,0.969223
2,0.970008,0.970644
3,0.963851,0.964252
4,0.956303,0.956499
5,0.956899,0.956439
6,0.956038,0.956439
7,0.956833,0.957564
8,0.954846,0.95567
9,0.951867,0.953421
10,0.948292,0.950462
11,0.945511,0.947917
12,0.937368,0.940104
13,0.92982,0.931463
14,0.930085,0.930457
15,0.926774,0.926255
16,0.919889,0.918561
17,0.90817,0.909505
18,0.896253,0.897491
19,0.886388,0.886482
20,0.877185,0.878018
21,0.869041,0.871686
22,0.862421,0.866004
23,0.856065,0.860914
24,0.846928,0.852332
25,0.835342,0.84227
26,0.827132,0.833511
27,0.821504,0.82848
28,0.817002,0.82848
29,0.808064,0.815282
30,0.799722,0.804569
31,0.79032,0.796579
32,0.781316,0.788826
33,0.770591,0.776811
34,0.760593,0.767756
35,0.752119,0.759943
36,0.744041,0.752071
37,0.739804,0.746212
38,0.737288,0.741241
39,0.733912,0.738814
40,0.731528,0.734197
41,0.725437,0.73035
42,0.721133,0.73035
43,0.718022,0.72384
44,0.712858,0.718572
45,0.705906,0.714193
46,0.700079,0.70709
47,0.695644,0.702533
48,0.689751,0.699041
49,0.683528,0.692708
50,0.676774,0.686316
51,0.672736,0.681345
52,0.668234,0.681345
53,0.665056,0.673769
54,0.663467,0.672467
55,0.661811,0.670691
56,0.659229,0.666726
57,0.657376,0.66424
58,0.657309,0.663767
59,0.655522,0.661399
60,0.649695,0.654474
61,0.638043,0.643288
62,0.63129,0.636955
63,0.62553,0.632812
64,0.624404,0.630682
65,0.616459,0.625355
66,0.61209,0.61991
67,0.606528,0.614406
68,0.602887,0.609375
69,0.598318,0.604877
70,0.594478,0.600971
71,0.589248,0.596058
72,0.583686,0.589548
73,0.577463,0.583452
74,0.572828,0.57996
75,0.568922,0.57706
76,0.567797,0.577178
77,0.564883,0.573745
78,0.56303,0.571319
79,0.560183,0.568359
80,0.557005,0.564453
81,0.553098,0.561908
82,0.54959,0.557469
83,0.545749,0.553563
84,0.539129,0.545159
85,0.534825,0.541844
86,0.533501,0.540542
87,0.533369,0.538826
88,0.532044,0.538175
89,0.529529,0.534209
90,0.52688,0.52906
91,0.516022,0.518466
92,0.511719,0.514264
93,0.507812,0.510594
94,0.50331,0.504912
95,0.500066,0.504912
96,0.495564,0.500296
97,0.491989,0.496508
98,0.487288,0.492069
99,0.482323,0.489761
100,0.481462,0.489761
101,0.481396,0.48692
102,0.481329,0.48692
103,0.478085,0.484908
104,0.473848,0.484908
105,0.470869,0.484908
106,0.469015,0.484908
107,0.467558,0.484908
108,0.464115,0.472301
109,0.463189,0.472301
110,0.461732,0.469164
111,0.460011,0.466619
112,0.458819,0.463423
113,0.453456,0.459458
114,0.453059,0.45786
115,0.451801,0.456439
116,0.451006,0.454901
117,0.448424,0.451941
118,0.445312,0.449692
119,0.444915,0.449692
120,0.44273,0.449692
121,0.440281,0.442886
122,0.437103,0.441229
123,0.433991,0.441229
124,0.432071,0.437145
125,0.429754,0.435133
126,0.427105,0.429983
127,0.424325,0.42584
128,0.422206,0.423414
129,0.420749,0.421342
130,0.418565,0.419152
131,0.416909,0.417554
132,0.416512,0.417554
133,0.416512,0.417199
134,0.414923,0.416371
135,0.414592,0.41424
136,0.412606,0.41353
137,0.410024,0.411695
138,0.407773,0.409979
139,0.406316,0.408085
140,0.403403,0.406546
141,0.402145,0.406546
142,0.401814,0.403172
143,0.399828,0.403172
144,0.397709,0.403172
145,0.395789,0.398733
146,0.39526,0.397254
147,0.393604,0.397254
148,0.391817,0.393348
149,0.389764,0.391217
150,0.388771,0.389441
151,0.387579,0.388258
152,0.387248,0.387251
153,0.385461,0.387251
154,0.38321,0.387251
155,0.380892,0.382457
156,0.379303,0.380859
157,0.377052,0.378729
158,0.376324,0.376716
159,0.374735,0.374941
160,0.373808,0.373106
161,0.372352,0.372159
162,0.371623,0.372159
163,0.369439,0.369555
