epoch,validationerror,testerror
266,0.208554,0.20348
267,0.208355,0.203362
268,0.208223,0.203598
269,0.207958,0.203658
270,0.20776,0.203598
271,0.20776,0.203598
272,0.207627,0.203598
273,0.207693,0.203421
274,0.207495,0.203835
275,0.207561,0.20348
276,0.207296,0.203362
277,0.207561,0.203303
278,0.207362,0.203243
279,0.207362,0.203125
280,0.207495,0.203125
281,0.207495,0.203125
282,0.207561,0.203007
283,0.207627,0.203007
284,0.207429,0.203066
285,0.207429,0.203125
286,0.207362,0.202888
287,0.207362,0.202711
288,0.207097,0.202829
289,0.207296,0.202533
290,0.20723,0.202533
291,0.207097,0.202474
292,0.206965,0.202415
293,0.206899,0.202415
294,0.207031,0.202415
295,0.206899,0.20206
296,0.206766,0.202237
297,0.206634,0.202237
298,0.206833,0.202178
299,0.206833,0.202119
300,0.2067,0.202178
301,0.206833,0.20206
302,0.206833,0.201764
303,0.206965,0.201705
304,0.207164,0.201705
305,0.207097,0.201645
306,0.207097,0.201645
307,0.206899,0.201468
308,0.207097,0.201527
309,0.206965,0.201349
310,0.206899,0.201409
311,0.2067,0.201764
312,0.2067,0.201645
313,0.206634,0.201527
314,0.206502,0.201349
315,0.206502,0.201705
316,0.206303,0.201468
317,0.206435,0.201349
318,0.206171,0.201172
319,0.206104,0.201172
320,0.206237,0.20129
321,0.206104,0.201172
322,0.206171,0.201231
323,0.205707,0.200994
324,0.206038,0.200935
325,0.205906,0.200935
326,0.205508,0.200935
327,0.205575,0.200817
328,0.205773,0.200758
329,0.205376,0.200698
330,0.20584,0.200698
331,0.205575,0.200639
332,0.205442,0.200521
333,0.205442,0.20058
334,0.205773,0.20058
335,0.205442,0.200166
336,0.205442,0.200107
337,0.205376,0.200343
338,0.205177,0.200225
339,0.205244,0.199988
340,0.205111,0.200107
341,0.205111,0.199988
342,0.205111,0.200166
343,0.204846,0.200284
344,0.204979,0.200107
345,0.205045,0.199929
346,0.205177,0.199811
347,0.205244,0.200047
348,0.205111,0.200107
349,0.205244,0.200225
350,0.205111,0.199988
351,0.205111,0.200107
352,0.205045,0.200166
353,0.204913,0.200166
354,0.205177,0.200166
355,0.205111,0.19987
356,0.204913,0.199633
357,0.204846,0.199811
358,0.204846,0.199574
359,0.20478,0.199574
360,0.204449,0.199455
361,0.204714,0.199396
362,0.204913,0.199396
363,0.204582,0.199515
364,0.20478,0.199515
365,0.204714,0.199574
366,0.204251,0.199337
367,0.204515,0.199515
368,0.204251,0.199337
369,0.204251,0.199337
370,0.204052,0.199396
371,0.204118,0.199278
372,0.203853,0.199337
373,0.203919,0.199396
374,0.203655,0.199396
375,0.203588,0.199278
376,0.203721,0.199219
377,0.203257,0.199278
378,0.203324,0.199219
379,0.203456,0.199278
380,0.202993,0.198804
381,0.203125,0.198923
382,0.20286,0.198804
383,0.20286,0.198804
384,0.202794,0.198745
385,0.203191,0.198923
386,0.202993,0.198864
387,0.202993,0.198864
388,0.202993,0.198864
389,0.202794,0.198509
390,0.202926,0.198804
391,0.203191,0.198627
392,0.20286,0.198627
393,0.202926,0.198745
394,0.202728,0.198627
395,0.202728,0.198627
396,0.202728,0.198686
397,0.202794,0.198509
398,0.202662,0.19839
399,0.202728,0.198686
400,0.202595,0.198449
401,0.202662,0.198509
402,0.20286,0.198509
403,0.202595,0.198272
404,0.202397,0.198331
405,0.202662,0.198331
406,0.202397,0.198153
407,0.202397,0.198094
408,0.202662,0.198153
409,0.202397,0.198035
410,0.202463,0.198094
411,0.202529,0.198035
412,0.202529,0.197976
413,0.202198,0.197976
414,0.202529,0.197917
415,0.202662,0.197798
416,0.202397,0.19768
417,0.202463,0.197562
418,0.202463,0.19768
419,0.202331,0.197384
420,0.202264,0.197384
421,0.202463,0.197443
422,0.202264,0.197443
423,0.202066,0.197502
424,0.201801,0.197206
425,0.201735,0.197384
426,0.201602,0.197384
427,0.201602,0.197443
428,0.201668,0.197384
429,0.201735,0.197562
430,0.201536,0.197384
431,0.20147,0.197621
432,0.201536,0.197502
433,0.201602,0.197443
434,0.201404,0.197384
435,0.20147,0.197325
436,0.201602,0.197443
437,0.201536,0.197206
438,0.20147,0.197029
439,0.201404,0.197206
440,0.201404,0.197088
441,0.201337,0.197206
442,0.201139,0.197029
443,0.201205,0.19697
444,0.20094,0.196851
445,0.201073,0.196792
446,0.201073,0.19697
447,0.200742,0.197029
448,0.200675,0.19697
449,0.200874,0.196911
450,0.200742,0.196792
451,0.200808,0.196496
452,0.200742,0.196555
453,0.200874,0.196615
454,0.200742,0.196615
455,0.200675,0.196437
456,0.200675,0.196555
457,0.200609,0.196259
458,0.200344,0.196437
459,0.200278,0.196437
460,0.200212,0.196259
461,0.200344,0.196319
462,0.200079,0.196496
463,0.200079,0.196496
464,0.200278,0.196319
465,0.200212,0.196378
466,0.200212,0.196259
467,0.200079,0.196319
468,0.200146,0.196319
469,0.200013,0.196259
470,0.200079,0.196319
471,0.200013,0.1962
472,0.200013,0.196259
473,0.199947,0.195964
474,0.199815,0.196082
475,0.200013,0.195964
476,0.199947,0.195904
477,0.199748,0.195845
478,0.199947,0.195727
479,0.199881,0.195727
480,0.200013,0.195904
481,0.199947,0.195964
482,0.199881,0.195904
483,0.199815,0.195786
484,0.200079,0.195668
485,0.199881,0.195727
486,0.199947,0.195727
487,0.199748,0.195668
488,0.199682,0.19549
489,0.199417,0.195431
490,0.199682,0.195312
491,0.199616,0.195312
492,0.199484,0.195194
493,0.199484,0.195076
494,0.199285,0.195017
495,0.199351,0.195017
496,0.199153,0.194898
497,0.199351,0.195076
498,0.19902,0.19478
499,0.199351,0.194957
500,0.19902,0.194661
501,0.199086,0.194898
502,0.198954,0.194721
503,0.198888,0.194839
504,0.198623,0.194721
505,0.198954,0.19478
506,0.198755,0.194425
507,0.19902,0.194721
508,0.198623,0.194366
509,0.198954,0.194543
510,0.198689,0.194366
511,0.198755,0.194484
512,0.198557,0.194247
513,0.198623,0.194188
514,0.198424,0.194188
515,0.198821,0.194188
516,0.19849,0.194129
517,0.198821,0.19407
518,0.198424,0.193833
519,0.198755,0.193892
520,0.19849,0.193478
521,0.198755,0.193892
522,0.198623,0.193359
523,0.198623,0.193833
524,0.198424,0.193714
525,0.198557,0.19401
526,0.19849,0.193714
527,0.198755,0.193892
528,0.19849,0.193774
529,0.198623,0.19407
530,0.198226,0.193655
531,0.198623,0.193951
532,0.198358,0.193537
533,0.198557,0.193892
534,0.198093,0.193359
535,0.198424,0.193714
536,0.198093,0.193419
537,0.198557,0.193714
538,0.198093,0.193478
539,0.198557,0.193892
540,0.197828,0.193359
541,0.198093,0.193596
542,0.197961,0.193359
543,0.198226,0.193537
544,0.198027,0.193478
545,0.198292,0.193596
546,0.198093,0.193241
547,0.198027,0.193478
548,0.197828,0.193182
549,0.198159,0.193655
550,0.197828,0.193241
551,0.197895,0.193537
552,0.197895,0.193419
553,0.197961,0.193478
554,0.197696,0.193359
555,0.197762,0.193655
556,0.197431,0.193359
557,0.198027,0.193241
558,0.197497,0.193182
559,0.197828,0.193478
560,0.197564,0.193063
561,0.198027,0.193359
562,0.19763,0.193182
563,0.198027,0.193182
564,0.197828,0.193123
565,0.197961,0.193359
566,0.197961,0.193182
567,0.197696,0.193419
568,0.19763,0.193123
569,0.197961,0.193478
570,0.197895,0.192768
571,0.197696,0.193419
572,0.197564,0.193004
573,0.197431,0.193359
574,0.197564,0.192886
575,0.197696,0.193419
576,0.197564,0.192827
577,0.197696,0.193359
578,0.197762,0.192886
579,0.197696,0.193123
580,0.197828,0.193123
581,0.197497,0.193123
582,0.197895,0.192708
583,0.197564,0.193063
584,0.19763,0.192708
585,0.197564,0.192768
586,0.19763,0.192708
587,0.197762,0.192708
588,0.197564,0.192649
589,0.197895,0.192708
590,0.197497,0.19259
591,0.197828,0.192768
592,0.197696,0.192472
593,0.197564,0.19259
594,0.197828,0.192708
595,0.197299,0.192708
596,0.197762,0.192649
597,0.197431,0.192827
598,0.197762,0.192649
599,0.197497,0.192945
600,0.197431,0.192708
601,0.197431,0.192827
602,0.197497,0.192945
603,0.197431,0.193063
604,0.197365,0.192827
605,0.197233,0.193063
606,0.197233,0.192886
607,0.197166,0.193004
608,0.197166,0.193004
609,0.197299,0.193004
610,0.197233,0.192886
611,0.197166,0.192708
612,0.197166,0.19259
613,0.1971,0.19259
614,0.197166,0.192708
615,0.197564,0.192708
616,0.197431,0.19259
617,0.197431,0.192945
618,0.196968,0.192649
619,0.197299,0.193123
620,0.1971,0.192353
621,0.197299,0.192945
622,0.1971,0.192708
623,0.197166,0.192708
624,0.197034,0.19259
625,0.197166,0.192827
626,0.196769,0.192531
627,0.1971,0.192945
628,0.196835,0.192294
629,0.1971,0.192531
630,0.196968,0.192294
631,0.196835,0.192649
632,0.196968,0.192412
633,0.196835,0.192768
634,0.196769,0.192353
635,0.196901,0.192827
636,0.196438,0.192412
637,0.196968,0.193004
638,0.196703,0.192531
639,0.196835,0.192945
640,0.196769,0.192768
641,0.19657,0.192945
642,0.196703,0.19259
643,0.197034,0.192827
644,0.196769,0.192531
645,0.196968,0.192886
646,0.196306,0.192353
647,0.196968,0.192827
648,0.196372,0.192235
649,0.196901,0.192768
650,0.19657,0.192176
651,0.196835,0.192649
652,0.19657,0.192472
653,0.1971,0.192708
654,0.196769,0.192057
655,0.196901,0.192649
656,0.196769,0.192176
657,0.197365,0.192827
658,0.196835,0.192353
659,0.197299,0.19259
660,0.196769,0.192235
661,0.196901,0.192827
662,0.196637,0.192294
663,0.196703,0.192827
664,0.19657,0.191939
665,0.196438,0.19259
666,0.196703,0.191998
667,0.196504,0.192649
668,0.196239,0.191821
669,0.196239,0.192649
670,0.19657,0.191643
671,0.196372,0.192353
672,0.196173,0.191761
673,0.196107,0.192353
674,0.196239,0.191821
675,0.196041,0.192294
676,0.196041,0.191643
677,0.195776,0.192176
678,0.195842,0.191584
679,0.195975,0.192116
680,0.195842,0.191465
681,0.195842,0.191998
682,0.195776,0.191406
683,0.19571,0.192116
684,0.19571,0.191347
685,0.195842,0.191939
686,0.195511,0.191229
687,0.195776,0.191939
688,0.195577,0.191406
689,0.195577,0.191702
690,0.195312,0.191584
691,0.195379,0.19188
692,0.195379,0.191465
693,0.195511,0.19188
694,0.195511,0.191406
695,0.195312,0.191998
696,0.195379,0.191288
697,0.195511,0.191821
698,0.195312,0.191406
699,0.195644,0.191939
700,0.195312,0.191288
701,0.195644,0.191998
702,0.195379,0.191347
703,0.195445,0.192235
704,0.195312,0.191288
705,0.195908,0.192057
706,0.195114,0.191465
707,0.195842,0.191939
708,0.19518,0.191347
709,0.195644,0.191998
710,0.195379,0.191465
711,0.195908,0.192057
712,0.195246,0.191347
713,0.195842,0.192057
714,0.195379,0.191229
715,0.195644,0.192116
716,0.195445,0.19117
717,0.195644,0.191998
718,0.195246,0.191347
719,0.195776,0.191761
720,0.195445,0.191288
721,0.195644,0.191761
722,0.195312,0.190992
723,0.195577,0.191643
724,0.195312,0.191051
725,0.195511,0.191702
726,0.19518,0.191347
727,0.195445,0.191939
728,0.19518,0.19111
729,0.195445,0.191702
730,0.194981,0.19117
731,0.195577,0.191584
732,0.195114,0.19111
733,0.195511,0.191525
734,0.195048,0.191347
735,0.195644,0.191643
736,0.194849,0.191288
737,0.195644,0.191643
738,0.195246,0.19117
739,0.195511,0.191821
740,0.195114,0.19117
741,0.195246,0.191761
742,0.195246,0.19117
743,0.195114,0.191643
744,0.195048,0.19117
745,0.195114,0.191761
746,0.195048,0.191406
747,0.195312,0.19188
748,0.194981,0.191584
749,0.195379,0.191761
750,0.194915,0.191525
751,0.19518,0.191761
752,0.195048,0.191406
753,0.195379,0.19188
754,0.195246,0.191465
755,0.195577,0.191702
756,0.195246,0.191406
757,0.195445,0.191761
758,0.19518,0.191525
759,0.195312,0.191643
760,0.195379,0.191525
761,0.195644,0.191643
762,0.195312,0.191643
763,0.195577,0.191643
764,0.19518,0.191525
765,0.195577,0.191821
766,0.19518,0.191702
767,0.195312,0.191465
768,0.195246,0.191584
769,0.195577,0.191702
770,0.195312,0.191584
771,0.195577,0.191998
772,0.19518,0.191643
773,0.195644,0.192057
774,0.195114,0.191584
775,0.19571,0.191761
776,0.195379,0.191702
777,0.195908,0.191821
778,0.195379,0.191643
779,0.195975,0.191702
780,0.195445,0.191702
781,0.19571,0.191761
782,0.195312,0.191702
783,0.195842,0.191821
784,0.195114,0.191525
785,0.195842,0.191998
786,0.195048,0.191525
787,0.19571,0.19188
788,0.195246,0.191643
789,0.195776,0.191939
790,0.195246,0.191643
791,0.195776,0.191761
792,0.195246,0.191939
793,0.195776,0.19188
794,0.195312,0.191821
795,0.195511,0.191998
796,0.195246,0.191643
797,0.195511,0.191998
798,0.195114,0.191643
799,0.195379,0.192057
800,0.19518,0.191702
801,0.195511,0.19188
802,0.19518,0.191939
803,0.195511,0.19188
804,0.195511,0.191939
805,0.195312,0.19188
806,0.195445,0.19188
807,0.195577,0.191584
808,0.195312,0.19188
809,0.195445,0.191643
810,0.19518,0.191584
811,0.195379,0.191761
812,0.195445,0.191702
813,0.195445,0.191821
814,0.195511,0.191525
815,0.195445,0.191761
816,0.195246,0.191702
817,0.195379,0.191761
818,0.195246,0.191465
819,0.195644,0.191761
820,0.195312,0.191465
821,0.195445,0.191821
822,0.195445,0.191465
823,0.195246,0.191998
824,0.195379,0.191288
825,0.195445,0.19188
826,0.195312,0.191465
827,0.195379,0.191998
828,0.195246,0.191465
829,0.195312,0.19188
830,0.195312,0.191406
831,0.195048,0.191939
832,0.195312,0.191288
833,0.194981,0.191821
834,0.19518,0.191465
835,0.195114,0.191939
836,0.195246,0.191347
837,0.194915,0.19188
838,0.195114,0.191347
839,0.194915,0.191761
840,0.19518,0.191347
841,0.194981,0.191761
842,0.195312,0.191584
843,0.194849,0.191702
844,0.195246,0.191406
845,0.194981,0.191702
846,0.195379,0.191643
847,0.194849,0.191761
848,0.19571,0.191584
849,0.19465,0.19188
850,0.195445,0.191525
851,0.19518,0.19188
852,0.195511,0.191347
853,0.195975,0.192057
854,0.195114,0.191465
855,0.195312,0.191761
856,0.195246,0.191643
857,0.195246,0.191761
858,0.195246,0.191643
859,0.19518,0.191643
860,0.195379,0.191702
861,0.194717,0.191702
862,0.195246,0.191821
863,0.194981,0.19188
864,0.19518,0.191643
865,0.194849,0.19188
866,0.194981,0.191821
867,0.194981,0.191939
868,0.195048,0.19188
869,0.194981,0.19188
870,0.195048,0.191761
871,0.194849,0.19188
872,0.19518,0.191939
873,0.194717,0.191761
874,0.195246,0.19188
875,0.194783,0.191761
876,0.195379,0.191939
877,0.194584,0.191643
878,0.19518,0.191821
879,0.194849,0.191761
880,0.195114,0.191998
881,0.19465,0.191702
882,0.195246,0.191702
883,0.194981,0.191643
884,0.194915,0.191702
885,0.194783,0.191821
886,0.194717,0.19188
887,0.195114,0.191761
888,0.194981,0.191702
889,0.195048,0.19188
890,0.195048,0.191643
891,0.195048,0.191643
892,0.195114,0.191821
893,0.194717,0.191821
894,0.195312,0.191525
895,0.19465,0.191998
896,0.194981,0.191761
897,0.194849,0.192176
898,0.195048,0.191702
899,0.194783,0.19188
900,0.195379,0.191525
901,0.194981,0.191998
902,0.19518,0.191761
903,0.195312,0.191998
904,0.194981,0.19188
905,0.195114,0.191998
906,0.195379,0.192176
907,0.195048,0.191939
908,0.19518,0.192116
909,0.195246,0.192116
910,0.194915,0.19188
911,0.195379,0.191939
912,0.19518,0.192235
913,0.194915,0.191939
914,0.19518,0.192176
915,0.195246,0.192116
916,0.195246,0.192176
917,0.195379,0.192176
918,0.195114,0.192116
919,0.195379,0.191998
920,0.19518,0.192294
921,0.195246,0.192412
922,0.195246,0.191939
923,0.19571,0.192235
924,0.195312,0.192116
925,0.195312,0.192176
